,002_arousal,002_valence,018_arousal,018_valence,014_arousal,014_valence,010_arousal,010_valence,008_arousal,008_valence
167,0.31494140625,0.64208984375,0.0,0.0,0.09521484375,-0.50048828125,-0.0048828125,-0.00732421875,-0.0048828125,0.2392578125
168,0.31494140625,0.64208984375,0.0,0.0,0.09765625,-0.5029296875,-0.00732421875,-0.009765625,-0.0048828125,0.244140625
169,0.31494140625,0.64208984375,0.0,0.0,0.09765625,-0.5029296875,-0.00732421875,-0.009765625,-0.0048828125,0.24658203125
170,0.31494140625,0.64453125,0.0,0.0,0.09765625,-0.5029296875,-0.009765625,-0.01220703125,-0.0048828125,0.25390625
171,0.31494140625,0.64453125,0.0,0.0,0.10009765625,-0.5029296875,-0.009765625,-0.01220703125,-0.00244140625,0.26123046875
172,0.31494140625,0.64453125,0.0,0.0,0.10009765625,-0.5029296875,-0.009765625,-0.01220703125,-0.00244140625,0.2685546875
173,0.3125,0.64697265625,0.0,0.0,0.10498046875,-0.50537109375,-0.009765625,-0.01220703125,-0.00244140625,0.27587890625
174,0.31005859375,0.64697265625,0.0,0.0,0.11474609375,-0.5126953125,-0.009765625,-0.01220703125,0.0,0.283203125
175,0.3076171875,0.6494140625,0.0,0.0,0.11962890625,-0.517578125,-0.01220703125,-0.009765625,0.00244140625,0.2880859375
176,0.3076171875,0.6494140625,0.0,0.0,0.1220703125,-0.517578125,-0.01708984375,-0.00732421875,0.00244140625,0.29052734375
177,0.3076171875,0.6494140625,0.0,0.0,0.1220703125,-0.517578125,-0.01953125,-0.0048828125,0.00244140625,0.29296875
178,0.30517578125,0.65185546875,0.0,0.0,0.1220703125,-0.51513671875,-0.02197265625,-0.00244140625,0.00244140625,0.29541015625
179,0.30517578125,0.65185546875,0.0,0.0,0.1220703125,-0.51513671875,-0.02197265625,0.0,0.0048828125,0.29541015625
180,0.302734375,0.654296875,0.0,0.0,0.1220703125,-0.5126953125,-0.0244140625,0.00244140625,0.0048828125,0.30029296875
181,0.2978515625,0.65673828125,0.0,0.0,0.1220703125,-0.5126953125,-0.02685546875,0.009765625,0.0048828125,0.30029296875
182,0.29296875,0.6591796875,0.0,0.0,0.1220703125,-0.5126953125,-0.029296875,0.0146484375,0.0048828125,0.30517578125
183,0.28564453125,0.66162109375,0.0,0.0,0.1220703125,-0.5126953125,-0.0341796875,0.0244140625,0.0048828125,0.3076171875
184,0.283203125,0.6640625,0.0,0.0,0.1220703125,-0.5126953125,-0.03662109375,0.029296875,0.00732421875,0.31005859375
185,0.2783203125,0.66650390625,0.0,0.0,0.12451171875,-0.5126953125,-0.0390625,0.0341796875,0.00732421875,0.3125
186,0.27587890625,0.66650390625,0.0,0.0,0.12451171875,-0.51513671875,-0.0390625,0.0390625,0.009765625,0.31494140625
